fecha,game_id,liga,local,visita,goles_local,goles_visita,xg_local,xg_visita,npxg_local,npxg_visita,tiros_local,tiros_visita,sot_local,sot_visita,cuota_h,cuota_d,cuota_a
2026-08-21,31940,ligue1,Marseille,Strasbourg,4,0,2.35215,0.192997,1.59205,0.192997,14,5,8,2,1.73,4.1,4.33
2026-08-22,31944,ligue1,Le Mans,Brest,2,2,0.768246,2.62744,0.768246,2.62744,8,26,5,7,2.55,3.4,2.7
2026-08-22,31941,ligue1,Lens,Auxerre,5,2,5.11771,1.70602,3.59752,0.945924,12,10,9,4,1.55,4.5,5.25
2026-08-22,31945,ligue1,Nice,Lorient,0,0,1.08878,1.98004,1.08878,1.98004,14,10,1,2,2.1,3.5,3.4
2026-08-22,31942,ligue1,Toulouse,Lyon,0,2,2.15622,0.757819,2.15622,0.757819,17,11,2,3,2.8,3.4,2.5
2026-08-22,31943,ligue1,Troyes,Paris FC,0,0,0.339728,1.5465,0.339728,1.5465,9,10,2,1,3.1,3.4,2.3
2026-08-23,31946,ligue1,Angers,Lille,0,2,1.85763,1.21456,1.85763,1.21456,20,11,2,8,5.0,3.7,1.7
2026-08-23,31947,ligue1,Le Havre,Monaco,0,1,0.662278,1.65557,0.662278,1.65557,15,15,4,7,3.6,4.0,1.91
2026-08-28,31949,ligue1,Lille,Paris SG,2,2,1.16266,1.78135,1.16266,1.78135,9,18,4,4,5.0,3.8,1.7
2026-08-29,31951,ligue1,Auxerre,Angers,1,3,1.76507,1.77769,1.76507,1.77769,20,15,7,6,1.95,3.5,4.1
2026-08-29,31952,ligue1,Brest,Toulouse,2,2,3.6482,1.30883,3.6482,1.30883,26,6,7,2,2.63,3.4,2.63
2026-08-29,31953,ligue1,Lorient,Troyes,1,2,1.02163,1.68146,1.02163,0.921363,15,11,6,2,1.8,3.6,4.5
2026-08-29,31954,ligue1,Lyon,Le Havre,1,1,2.30929,1.10399,2.30929,1.10399,16,12,5,4,1.44,4.5,7.0
2026-08-29,31950,ligue1,Strasbourg,Lens,2,1,1.85921,2.95021,1.85921,2.19011,16,17,7,7,3.5,3.6,2.05
2026-08-30,31957,ligue1,Monaco,Marseille,2,0,1.60964,1.25309,1.60964,1.25309,11,13,5,2,2.4,3.7,2.75
2026-08-30,31955,ligue1,Paris FC,Nice,3,0,3.01882,0.589554,2.25872,0.589554,15,15,4,4,2.05,3.3,3.8
2026-08-30,31956,ligue1,Rennes,Le Mans,3,2,3.64052,2.72393,2.88043,1.96383,22,12,8,5,1.44,5.0,6.5
2026-09-03,31958,ligue1,Toulouse,Lille,0,1,2.97022,1.04406,2.97022,1.04406,24,10,10,6,3.25,3.25,2.15
2026-09-04,31959,ligue1,Lyon,Auxerre,3,1,2.88188,0.907856,2.88188,0.907856,21,8,7,3,1.42,4.5,7.5
2026-09-04,31960,ligue1,Paris SG,Monaco,1,2,2.52357,0.601454,2.52357,0.601454,23,4,10,2,1.33,5.75,7.5
2026-09-05,31963,ligue1,Le Havre,Brest,1,2,1.61083,3.01175,0.850734,2.25165,18,19,4,9,2.63,3.25,2.7
2026-09-05,31961,ligue1,Lens,Lorient,0,1,1.10048,1.03397,1.10048,1.03397,17,8,6,3,1.45,4.33,7.0
2026-09-05,31962,ligue1,Nice,Le Mans,1,1,1.2469,1.17845,1.2469,1.17845,8,8,2,3,1.85,3.6,4.33
2026-09-06,31965,ligue1,Angers,Rennes,1,2,1.86719,2.37195,1.86719,2.37195,19,17,3,5,4.0,3.75,1.85
2026-09-06,31966,ligue1,Marseille,Paris FC,2,3,1.72315,3.37808,1.72315,2.61798,14,18,5,7,1.75,3.8,4.33
2026-09-06,31964,ligue1,Troyes,Strasbourg,2,6,2.64731,3.51582,2.64731,3.51582,27,19,6,12,3.1,3.4,2.3
2026-09-11,31967,ligue1,Rennes,Marseille,1,0,2.31897,1.30655,2.31897,1.30655,20,13,7,5,2.1,3.8,3.2
2026-09-12,31971,ligue1,Auxerre,Nice,1,0,1.69749,0.60178,1.69749,0.60178,11,12,7,4,2.63,3.3,2.75
2026-09-12,31970,ligue1,Le Havre,Angers,0,0,1.02624,0.481433,1.02624,0.481433,15,9,6,1,2.55,3.2,2.88
2026-09-12,31972,ligue1,Lorient,Toulouse,2,2,0.689314,1.3359,0.689314,1.3359,10,13,3,4,2.63,3.25,2.75
2026-09-12,31969,ligue1,Paris FC,Lyon,0,0,0.576571,0.402849,0.576571,0.402849,6,5,4,1,2.55,3.6,2.55
2026-09-12,31968,ligue1,Strasbourg,Monaco,1,1,0.674791,0.766591,0.674791,0.766591,13,12,2,3,3.1,3.75,2.15
2026-09-13,31975,ligue1,Brest,Paris SG,0,1,1.24238,1.33411,1.24238,1.33411,16,15,4,7,11.0,5.75,1.27
2026-09-13,31974,ligue1,Le Mans,Lens,2,2,2.15559,1.87551,2.15559,1.87551,13,16,5,6,4.75,4.2,1.65
2026-09-13,31973,ligue1,Lille,Troyes,2,0,2.05206,0.352733,2.05206,0.352733,13,8,6,1,1.4,4.75,7.5
2026-09-18,31976,ligue1,Monaco,Lens,2,1,1.53599,1.46144,1.53599,1.46144,9,12,6,4,2.05,3.7,3.4
2026-09-19,31980,ligue1,Angers,Troyes,2,0,2.38813,1.16391,2.38813,1.16391,12,19,3,3,2.2,3.3,3.4
2026-09-19,31982,ligue1,Le Mans,Lorient,2,1,0.959241,1.07323,0.959241,1.07323,11,9,7,2,2.7,3.3,2.63
2026-09-19,31983,ligue1,Lyon,Rennes,4,0,3.60496,1.15783,3.60496,1.15783,15,13,9,4,2.1,3.7,3.2
2026-09-19,31978,ligue1,Paris FC,Strasbourg,2,1,0.907233,0.230224,0.907233,0.230224,17,5,7,1,1.95,3.75,3.6
2026-09-19,31979,ligue1,Toulouse,Le Havre,3,2,2.82989,2.15515,2.0698,2.15515,14,18,5,7,1.7,3.75,5.0
2026-09-20,31981,ligue1,Auxerre,Brest,2,1,0.769606,0.304072,0.769606,0.304072,11,8,4,2,2.88,3.5,2.45
2026-09-20,31984,ligue1,Marseille,Paris SG,1,2,1.86575,4.67277,1.86575,4.67277,12,31,4,10,7.0,5.0,1.4
