fecha,game_id,liga,local,visita,goles_local,goles_visita,xg_local,xg_visita,npxg_local,npxg_visita,tiros_local,tiros_visita,sot_local,sot_visita,cuota_h,cuota_d,cuota_a
2025-08-15,29158,laliga,Girona,Vallecano,1,3,0.795304,3.25355,0.795304,2.51027,7,16,2,5,2.25,3.25,3.3
2025-08-15,29159,laliga,Villarreal,Oviedo,2,0,2.60739,0.85578,2.60739,0.112502,25,5,10,4,1.4,4.75,8.0
2025-08-16,29161,laliga,Alaves,Levante,2,1,1.72315,0.74203,1.72315,0.74203,15,7,4,3,2.15,3.0,3.8
2025-08-16,29160,laliga,Mallorca,Barcelona,0,3,0.529217,2.0243,0.529217,2.0243,4,24,1,8,7.0,5.0,1.4
2025-08-16,29162,laliga,Valencia,Sociedad,1,1,1.58599,1.04897,1.58599,1.04897,18,13,2,3,2.6,2.9,3.1
2025-08-17,29164,laliga,Ath Bilbao,Sevilla,3,2,2.67586,0.901645,1.93258,0.901645,14,12,3,6,1.57,3.9,6.0
2025-08-17,29163,laliga,Celta,Getafe,0,2,0.744247,1.50131,0.744247,1.50131,11,10,3,3,1.73,3.5,5.25
2025-08-17,29165,laliga,Espanol,Ath Madrid,2,1,1.41508,1.29319,1.41508,1.29319,10,15,5,4,6.0,3.9,1.57
2025-08-18,29166,laliga,Elche,Betis,1,1,0.981494,1.59562,0.981494,1.59562,6,12,2,4,3.4,3.3,2.2
2025-08-19,29167,laliga,Real Madrid,Osasuna,1,0,1.4294,0.201044,0.686125,0.201044,18,2,5,0,1.22,6.25,13.0
2025-08-22,29168,laliga,Betis,Alaves,1,0,2.13985,1.43838,2.13985,1.43838,16,11,5,5,1.91,3.4,4.2
2025-08-23,29170,laliga,Ath Madrid,Elche,1,1,1.68159,0.313268,1.68159,0.313268,13,6,6,2,1.25,5.25,15.0
2025-08-23,29171,laliga,Levante,Barcelona,2,3,2.68812,2.48128,1.94484,2.48128,8,26,5,10,11.0,6.0,1.25
2025-08-23,29169,laliga,Mallorca,Celta,1,1,0.664974,0.917413,0.664974,0.917413,12,8,4,2,3.0,3.1,2.55
2025-08-24,29172,laliga,Osasuna,Valencia,1,0,0.946758,0.589594,0.946758,0.589594,16,4,4,1,2.4,3.2,3.1
2025-08-24,29175,laliga,Oviedo,Real Madrid,0,3,0.33749,1.82072,0.33749,1.82072,6,26,3,10,9.5,5.5,1.3
2025-08-24,29174,laliga,Sociedad,Espanol,2,2,1.43366,1.87234,1.43366,1.12906,15,14,7,3,1.8,3.4,5.0
2025-08-24,29173,laliga,Villarreal,Girona,5,0,2.97707,0.140267,2.97707,0.140267,19,5,7,2,1.53,4.33,6.0
2025-08-25,29176,laliga,Ath Bilbao,Vallecano,1,0,1.68759,0.493587,0.944308,0.493587,11,6,4,1,1.7,3.5,5.5
2025-08-25,29177,laliga,Sevilla,Getafe,1,2,0.833075,1.32944,0.833075,1.32944,12,9,3,6,2.25,3.0,3.6
