xi,k,w,rps,logloss,brier,acierto,n
0.001,24.0,1.0,0.207167,1.009939,0.60282,0.507562,2843
0.002,0.0,0.0,0.1991,0.986482,0.586297,0.524446,2843
0.002,0.0,0.25,0.199498,0.987831,0.587335,0.516356,2843
0.002,0.0,0.5,0.201004,0.992814,0.590794,0.512839,2843
0.002,0.0,0.75,0.20366,1.001999,0.596783,0.507914,2843
0.002,0.0,1.0,0.207456,1.015912,0.605329,0.501935,2843
0.002,2.0,0.0,0.198943,0.985457,0.585885,0.524446,2843
0.002,2.0,0.25,0.199209,0.986299,0.586595,0.518818,2843
0.002,2.0,0.5,0.200383,0.989928,0.589272,0.512839,2843
0.002,2.0,0.75,0.202505,0.996668,0.594014,0.506859,2843
0.002,2.0,1.0,0.205611,1.007029,0.600919,0.503342,2843
0.002,4.0,0.0,0.199234,0.986387,0.586453,0.525853,2843
0.002,4.0,0.25,0.199427,0.986965,0.586979,0.522336,2843
0.002,4.0,0.5,0.200397,0.98986,0.589178,0.513894,2843
0.002,4.0,0.75,0.202182,0.995324,0.593142,0.507914,2843
0.002,4.0,1.0,0.204816,1.003719,0.598962,0.503693,2843
0.002,6.0,0.0,0.199703,0.98792,0.587411,0.525149,2843
0.002,6.0,0.25,0.199849,0.98833,0.587812,0.521984,2843
0.002,6.0,0.5,0.200676,0.990739,0.589676,0.517411,2843
0.002,6.0,0.75,0.20222,0.99536,0.59309,0.506859,2843
0.002,6.0,1.0,0.204515,1.002484,0.598137,0.502638,2843
0.002,8.0,0.0,0.200245,0.989652,0.588526,0.524094,2843
0.002,8.0,0.25,0.200356,0.989941,0.588834,0.523039,2843
0.002,8.0,0.5,0.201074,0.991997,0.590446,0.518466,2843
0.002,8.0,0.75,0.202436,0.996004,0.593443,0.508266,2843
0.002,8.0,1.0,0.204471,1.002206,0.597902,0.504397,2843
0.002,12.0,0.0,0.201377,0.993178,0.590864,0.524446,2843
0.002,12.0,0.25,0.201438,0.993301,0.591039,0.521984,2843
0.002,12.0,0.5,0.202002,0.994863,0.59229,0.518115,2843
0.002,12.0,0.75,0.203099,0.998012,0.594685,0.512487,2843
0.002,12.0,1.0,0.204757,1.002938,0.598296,0.505804,2843
0.002,16.0,0.0,0.202474,0.99651,0.593128,0.521632,2843
0.002,16.0,0.25,0.202499,0.996518,0.59321,0.518466,2843
0.002,16.0,0.5,0.202954,0.997744,0.594209,0.516356,2843
0.002,16.0,0.75,0.203865,1.00031,0.596185,0.511432,2843
0.002,16.0,1.0,0.205259,1.004372,0.599201,0.509673,2843
0.002,24.0,0.0,0.20444,1.002358,0.597189,0.518466,2843
0.002,24.0,0.25,0.204417,1.002214,0.597145,0.514597,2843
0.002,24.0,0.5,0.204725,1.002999,0.597807,0.514949,2843
0.002,24.0,0.75,0.205387,1.004806,0.599225,0.509321,2843
0.002,24.0,1.0,0.206427,1.007748,0.601451,0.509673,2843
0.003,0.0,0.0,0.199258,0.987101,0.586727,0.525149,2843
0.003,0.0,0.25,0.199654,0.988472,0.587777,0.519873,2843
0.003,0.0,0.5,0.20122,0.993674,0.591381,0.514949,2843
0.003,0.0,0.75,0.204001,1.003306,0.597661,0.509673,2843
0.003,0.0,1.0,0.207991,1.017942,0.606657,0.500528,2843
0.003,2.0,0.0,0.19906,0.98593,0.586229,0.524094,2843
0.003,2.0,0.25,0.199345,0.986857,0.587,0.520929,2843
0.003,2.0,0.5,0.200619,0.990847,0.589916,0.515301,2843
0.003,2.0,0.75,0.202927,0.998275,0.595087,0.510025,2843
0.003,2.0,1.0,0.206309,1.009759,0.602626,0.502638,2843
